Ratings,Review_body,Date,Review_head
5.0 out of 5 stars,"
  Boult audio headphone are light weight and comfortable. It have a good noise cancellation , I like product .
",Reviewed in India on 1 September 2020,Boult audio headphone
5.0 out of 5 stars,"
  Product is very good bulid quality all things are write but only noise cancellation is not proper.👍👍👍👍👍👍
",Reviewed in India on 24 September 2020,Good product
3.0 out of 5 stars,"
  No noise cancellation,only baas ,battry is awesome
",Reviewed in India on 5 September 2020,Good for nothing 😉
3.0 out of 5 stars,"
  It has better  noise cancellation and battery life than the other brands.
",Reviewed in India on 25 September 2020,Battery life
4.0 out of 5 stars,"
  Noise cancelling is very less but fits comfortable and bass is excellent
",Reviewed in India on 16 September 2020,Noise cancelling
2.0 out of 5 stars,"
  Very heavy weight.. does not cancel the the noise...
",Reviewed in India on 18 September 2020,Avarage product...
4.0 out of 5 stars,"
  Good noise cancellation and good sound quality...👍👍
",Reviewed in India on 25 August 2020,Cool
4.0 out of 5 stars,"
  Good Noise cancellation
",Reviewed in India on 16 September 2020,Good Headset
5.0 out of 5 stars,"
  I dislike noise cancellation
",Reviewed in India on 11 August 2020,Nice 👌 product to purchase
5.0 out of 5 stars,"
  Best headphone that gives you noise cancellation and 10 hours of battery backup everyone should have this product
",Reviewed in India on 20 August 2020,Best product I have ever used
5.0 out of 5 stars,"
  Call quality and noise cancellation is good
",Reviewed in India on 10 July 2020,Good
